date,unemployment,unemployment benefits,file for unemployment,unemployment office,apply for unemployment
2021-04-03,26.0,2.0,0.0,1.0,1.0
2021-04-10,,,,,
2021-04-17,,,,,
2021-04-24,,,,,
2021-05-01,25.0,2.0,0.0,1.0,0.0
2021-05-08,,,,,
2021-05-15,,,,,
2021-05-22,,,,,
2021-05-29,,,,,
2021-06-05,20.0,1.0,0.0,1.0,0.0
2021-06-12,,,,,
2021-06-19,,,,,
2021-06-26,,,,,
2021-07-03,19.0,1.0,0.0,0.0,0.0
2021-07-10,,,,,
2021-07-17,,,,,
2021-07-24,,,,,
2021-07-31,,,,,
2021-08-07,19.0,2.0,0.0,0.0,0.0
2021-08-14,,,,,
2021-08-21,,,,,
2021-08-28,,,,,
2021-09-04,16.0,1.0,0.0,0.0,0.0
2021-09-11,,,,,
2021-09-18,,,,,
2021-09-25,,,,,
2021-10-02,9.0,1.0,0.0,0.0,0.0
2021-10-09,,,,,
2021-10-16,,,,,
2021-10-23,,,,,
2021-10-30,,,,,
2021-11-06,8.0,1.0,0.0,0.0,0.0
2021-11-13,,,,,
2021-11-20,,,,,
2021-11-27,,,,,
2021-12-04,7.0,1.0,0.0,0.0,0.0
2021-12-11,,,,,
2021-12-18,,,,,
2021-12-25,,,,,
2022-01-01,8.0,1.0,0.0,0.0,0.0
2022-01-08,,,,,
2022-01-15,,,,,
2022-01-22,,,,,
2022-01-29,,,,,
2022-02-05,7.0,1.0,0.0,0.0,0.0
2022-02-12,,,,,
2022-02-19,,,,,
2022-02-26,,,,,
2022-03-05,7.0,1.0,0.0,0.0,0.0
2022-03-12,,,,,
2022-03-19,,,,,
2022-03-26,,,,,
2022-04-02,7.0,1.0,0.0,0.0,0.0
2022-04-09,,,,,
2022-04-16,,,,,
2022-04-23,,,,,
2022-04-30,,,,,
2022-05-07,6.0,0.0,0.0,0.0,0.0
2022-05-14,,,,,
2022-05-21,,,,,
2022-05-28,,,,,
2022-06-04,6.0,0.0,0.0,0.0,0.0
2022-06-11,,,,,
2022-06-18,,,,,
2022-06-25,,,,,
2022-07-02,6.0,0.0,0.0,0.0,0.0
2022-07-09,,,,,
2022-07-16,,,,,
2022-07-23,,,,,
2022-07-30,,,,,
2022-08-06,5.0,0.0,0.0,0.0,0.0
2022-08-13,,,,,
2022-08-20,,,,,
2022-08-27,,,,,
2022-09-03,5.0,0.0,0.0,0.0,0.0
2022-09-10,,,,,
2022-09-17,,,,,
2022-09-24,,,,,
2022-10-01,6.0,0.0,0.0,0.0,0.0
2022-10-08,,,,,
2022-10-15,,,,,
2022-10-22,,,,,
2022-10-29,,,,,
2022-11-05,6.0,0.0,0.0,0.0,0.0
2022-11-12,,,,,
2022-11-19,,,,,
2022-11-26,,,,,
2022-12-03,6.0,0.0,0.0,0.0,0.0
2022-12-10,,,,,
2022-12-17,,,,,
2022-12-24,,,,,
2022-12-31,,,,,
2023-01-07,7.0,1.0,0.0,0.0,0.0
2023-01-14,,,,,
2023-01-21,,,,,
2023-01-28,,,,,
2023-02-04,6.0,1.0,0.0,0.0,0.0
2023-02-11,,,,,
2023-02-18,,,,,
2023-02-25,,,,,
2023-03-04,6.0,1.0,0.0,0.0,0.0
2023-03-11,,,,,
2023-03-18,,,,,
2023-03-25,,,,,
2023-04-01,6.0,1.0,0.0,0.0,0.0
2023-04-08,,,,,
2023-04-15,,,,,
2023-04-22,,,,,
2023-04-29,,,,,
2023-05-06,6.0,1.0,0.0,0.0,0.0
2023-05-13,,,,,
2023-05-20,,,,,
2023-05-27,,,,,
2023-06-03,6.0,1.0,0.0,0.0,0.0
2023-06-10,,,,,
2023-06-17,,,,,
2023-06-24,,,,,
2023-07-01,6.0,1.0,0.0,0.0,0.0
2023-07-08,,,,,
2023-07-15,,,,,
2023-07-22,,,,,
2023-07-29,,,,,
2023-08-05,5.0,1.0,0.0,0.0,0.0
2023-08-12,,,,,
2023-08-19,,,,,
2023-08-26,,,,,
2023-09-02,6.0,1.0,0.0,0.0,0.0
2023-09-09,,,,,
2023-09-16,,,,,
2023-09-23,,,,,
2023-09-30,,,,,
2023-10-07,6.0,1.0,0.0,0.0,0.0
2023-10-14,,,,,
2023-10-21,,,,,
2023-10-28,,,,,
2023-11-04,6.0,0.0,0.0,0.0,0.0
2023-11-11,,,,,
2023-11-18,,,,,
2023-11-25,,,,,
2023-12-02,5.0,0.0,0.0,0.0,0.0
2023-12-09,,,,,
2023-12-16,,,,,
2023-12-23,,,,,
2023-12-30,,,,,
2024-01-06,7.0,1.0,0.0,0.0,0.0
2024-01-13,,,,,
2024-01-20,,,,,
2024-01-27,,,,,
2024-02-03,6.0,1.0,0.0,0.0,0.0
2024-02-10,,,,,
2024-02-17,,,,,
2024-02-24,,,,,
2024-03-02,6.0,0.0,0.0,0.0,0.0
2024-03-09,,,,,
2024-03-16,,,,,
2024-03-23,,,,,
2024-03-30,,,,,
2024-04-06,6.0,1.0,0.0,0.0,0.0
2024-04-13,,,,,
2024-04-20,,,,,
2024-04-27,,,,,
2024-05-04,6.0,0.0,0.0,0.0,0.0
2024-05-11,,,,,
2024-05-18,,,,,
2024-05-25,,,,,
2024-06-01,6.0,1.0,0.0,0.0,0.0
2024-06-08,,,,,
2024-06-15,,,,,
2024-06-22,,,,,
2024-06-29,,,,,
2024-07-06,6.0,0.0,0.0,0.0,0.0
2024-07-13,,,,,
2024-07-20,,,,,
2024-07-27,,,,,
2024-08-03,6.0,0.0,0.0,0.0,0.0
2024-08-10,,,,,
2024-08-17,,,,,
2024-08-24,,,,,
2024-08-31,,,,,
2024-09-07,5.0,0.0,0.0,0.0,0.0
2024-09-14,,,,,
2024-09-21,,,,,
2024-09-28,,,,,
2024-10-05,6.0,0.0,0.0,0.0,0.0
2024-10-12,,,,,
2024-10-19,,,,,
2024-10-26,,,,,
2024-11-02,5.0,0.0,0.0,0.0,0.0
2024-11-09,,,,,
2024-11-16,,,,,
2024-11-23,,,,,
2024-11-30,,,,,
2024-12-07,5.0,0.0,0.0,0.0,0.0
2024-12-14,,,,,
2024-12-21,,,,,
2024-12-28,,,,,
2025-01-04,6.0,1.0,0.0,0.0,0.0
2025-01-11,,,,,
2025-01-18,,,,,
2025-01-25,,,,,
2025-02-01,6.0,1.0,0.0,0.0,0.0
2025-02-08,,,,,
2025-02-15,,,,,
2025-02-22,,,,,
2025-03-01,6.0,1.0,0.0,0.0,0.0
2025-03-08,,,,,
2025-03-15,,,,,
2025-03-22,,,,,
2025-03-29,,,,,
2025-04-05,6.0,1.0,0.0,0.0,0.0
2025-04-12,,,,,
2025-04-19,,,,,
2025-04-26,,,,,
2025-05-03,5.0,0.0,0.0,0.0,0.0
2025-05-10,,,,,
2025-05-17,,,,,
2025-05-24,,,,,
2025-05-31,,,,,
2025-06-07,6.0,1.0,0.0,0.0,0.0
2025-06-14,,,,,
2025-06-21,,,,,
2025-06-28,,,,,
2025-07-05,6.0,1.0,0.0,0.0,0.0
2025-07-12,,,,,
2025-07-19,,,,,
2025-07-26,,,,,
2025-08-02,6.0,1.0,0.0,0.0,0.0
2025-08-09,,,,,
2025-08-16,,,,,
2025-08-23,,,,,
2025-08-30,,,,,
2025-09-06,5.0,1.0,0.0,0.0,0.0
2025-09-13,,,,,
2025-09-20,,,,,
2025-09-27,,,,,
2025-10-04,6.0,1.0,0.0,0.0,0.0
2025-10-11,,,,,
2025-10-18,,,,,
2025-10-25,,,,,
2025-11-01,6.0,1.0,0.0,0.0,0.0
2025-11-08,,,,,
2025-11-15,,,,,
2025-11-22,,,,,
2025-11-29,,,,,
2025-12-06,7.0,1.0,0.0,0.0,0.0
2025-12-13,,,,,
2025-12-20,,,,,
2025-12-27,,,,,
2026-01-03,8.0,1.0,0.0,0.0,0.0
2026-01-10,,,,,
2026-01-17,,,,,
2026-01-24,,,,,
2026-01-31,,,,,
2026-02-07,9.0,1.0,0.0,0.0,0.0
2026-02-14,,,,,
2026-02-21,,,,,
2026-02-28,,,,,
2026-03-07,8.0,1.0,0.0,0.0,0.0
2026-03-14,,,,,
2026-03-21,,,,,
2026-03-28,,,,,
2026-04-04,7.0,1.0,0.0,0.0,0.0
